"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"20.04.2010","2,8375","2,8370","2,8385","2,8350","0,00%"
"19.04.2010","2,8375","2,8350","2,8375","2,8340","0,05%"
"16.04.2010","2,8360","2,8350","2,8370","2,8330","0,02%"
"15.04.2010","2,8355","2,8340","2,8365","2,8326","0,00%"
"14.04.2010","2,8355","2,8350","2,8415","2,8313","0,00%"
"13.04.2010","2,8355","2,8350","2,8365","2,8328","0,00%"
"12.04.2010","2,8355","2,8360","2,8375","2,8325","-0,04%"
"09.04.2010","2,8365","2,8350","2,8365","2,8336","0,02%"
"08.04.2010","2,8360","2,8370","2,8380","2,8340","-0,05%"
"07.04.2010","2,8375","2,8370","2,8385","2,8340","-0,02%"
"06.04.2010","2,8380","2,8370","2,8400","2,8360","-0,03%"
"05.04.2010","2,8388","2,8410","2,8428","2,8370","-0,11%"
"02.04.2010","2,8420","2,8410","2,8420","2,8410","0,04%"
"01.04.2010","2,8410","2,8410","2,8425","2,8395","0,02%"
"31.03.2010","2,8405","2,8400","2,8435","2,8380","0,00%"
"30.03.2010","2,8405","2,8390","2,8405","2,8350","0,04%"
"29.03.2010","2,8395","2,8390","2,8415","2,8370","-0,03%"
"26.03.2010","2,8403","2,8365","2,8403","2,8360","0,10%"
"25.03.2010","2,8375","2,8350","2,8405","2,8335","0,04%"
"24.03.2010","2,8365","2,8360","2,8375","2,8342","0,00%"
"23.03.2010","2,8365","2,8370","2,8415","2,8340","-0,04%"
"22.03.2010","2,8375","2,8370","2,8375","2,8353","0,02%"
"19.03.2010","2,8369","2,8370","2,8395","2,8354","-0,06%"
"18.03.2010","2,8385","2,8370","2,8385","2,8360","0,04%"
"17.03.2010","2,8375","2,8360","2,8475","2,8338","0,04%"
"16.03.2010","2,8365","2,8380","2,8385","2,8347","-0,09%"
"15.03.2010","2,8390","2,8380","2,8405","2,8360","0,02%"
"12.03.2010","2,8385","2,8370","2,8630","2,8200","0,01%"
"11.03.2010","2,8383","2,8380","2,8483","2,8358","-0,01%"
"10.03.2010","2,8385","2,8390","2,8395","2,8367","-0,05%"
"09.03.2010","2,8400","2,8390","2,8420","2,8385","0,00%"
"08.03.2010","2,8400","2,8390","2,8410","2,8370","0,00%"
"05.03.2010","2,8400","2,8410","2,8420","2,8340","-0,09%"
"04.03.2010","2,8425","2,8430","2,8455","2,8406","-0,04%"
"03.03.2010","2,8435","2,8430","2,8445","2,8400","-0,00%"
"02.03.2010","2,8436","2,8450","2,8465","2,8410","-0,07%"
"01.03.2010","2,8455","2,8575","2,8580","2,8405","-0,09%"
"26.02.2010","2,8480","2,8480","2,8490","2,8430","-0,04%"
"25.02.2010","2,8490","2,8450","2,8515","2,8430","0,11%"
"24.02.2010","2,8460","2,8500","2,8530","2,8440","-0,16%"
"23.02.2010","2,8505","2,8480","2,8525","2,8475","0,05%"
"22.02.2010","2,8490","2,8510","2,8520","2,8470","-0,09%"
"19.02.2010","2,8515","2,8570","2,8575","2,8483","0,04%"
"18.02.2010","2,8505","2,8470","2,8525","2,8455","0,09%"
"17.02.2010","2,8480","2,8470","2,8490","2,8440","0,00%"
"16.02.2010","2,8480","2,8530","2,8540","2,8470","-0,19%"
"15.02.2010","2,8535","2,8540","2,8545","2,8516","-0,04%"
"12.02.2010","2,8545","2,8520","2,8585","2,8400","0,07%"
"11.02.2010","2,8525","2,8550","2,8555","2,8450","-0,16%"
"10.02.2010","2,8570","2,8590","2,8620","2,8529","-0,10%"
"09.02.2010","2,8600","2,8690","2,8705","2,8580","-0,37%"
"08.02.2010","2,8705","2,8670","2,8760","2,8650","0,09%"
"05.02.2010","2,8680","2,8600","2,8700","2,8560","0,26%"
"04.02.2010","2,8605","2,8520","2,8635","2,8498","0,32%"
"03.02.2010","2,8515","2,8500","2,8535","2,8480","0,03%"
"02.02.2010","2,8506","2,8510","2,8546","2,8450","-0,03%"
"01.02.2010","2,8515","2,8600","2,8605","2,8496","-0,31%"
"29.01.2010","2,8605","2,8600","2,8714","2,8530","0,00%"
"28.01.2010","2,8605","2,8618","2,8623","2,8535","-0,09%"
"27.01.2010","2,8632","2,8530","2,8647","2,8530","0,32%"
"26.01.2010","2,8540","2,8510","2,8570","2,8500","0,09%"
"25.01.2010","2,8515","2,8485","2,8550","2,8470","-0,04%"
"22.01.2010","2,8525","2,8490","2,8555","2,8470","0,11%"
"21.01.2010","2,8495","2,8530","2,8545","2,8480","-0,14%"
"20.01.2010","2,8535","2,8520","2,8585","2,8510","-0,12%"
"19.01.2010","2,8570","2,8500","2,8715","2,8400","0,23%"
"18.01.2010","2,8505","2,8540","2,8545","2,8490","-0,14%"
"15.01.2010","2,8545","2,8480","2,8545","2,8400","0,21%"
"14.01.2010","2,8485","2,8450","2,8490","2,8425","0,05%"
"13.01.2010","2,8470","2,8480","2,8500","2,8408","-0,05%"
"12.01.2010","2,8485","2,8500","2,8655","2,8400","0,02%"
"11.01.2010","2,8480","2,8480","2,8515","2,8440","-0,04%"
"08.01.2010","2,8490","2,8610","2,8660","2,8480","-0,44%"
"07.01.2010","2,8615","2,8640","2,8725","2,8600","-0,21%"
"06.01.2010","2,8675","2,8750","2,8755","2,8641","-0,28%"
"05.01.2010","2,8755","2,8730","2,8755","2,8680","0,05%"
"04.01.2010","2,8740","2,8800","2,8910","2,8720","-0,52%"
"01.01.2010","2,8890","2,8880","2,8890","2,8880","0,00%"
"31.12.2009","2,8890","2,8880","2,8890","2,8855","0,00%"
"30.12.2009","2,8890","2,8850","2,8920","2,8820","0,12%"
"29.12.2009","2,8855","2,8840","2,8885","2,8750","0,14%"
"28.12.2009","2,8815","2,8735","2,8875","2,8735","-0,02%"
"25.12.2009","2,8821","2,8806","2,8821","2,8806","0,00%"
"24.12.2009","2,8821","2,8810","2,8835","2,8806","0,00%"
"23.12.2009","2,8820","2,8810","2,8880","2,8790","-0,02%"
"22.12.2009","2,8825","2,8830","2,8875","2,8710","-0,03%"
"21.12.2009","2,8835","2,8735","2,8845","2,8730","0,07%"
"18.12.2009","2,8815","2,8810","2,8895","2,8800","-0,03%"
"17.12.2009","2,8825","2,8710","2,8835","2,8710","0,28%"
"16.12.2009","2,8745","2,8720","2,8775","2,8610","0,03%"
"15.12.2009","2,8735","2,8720","2,8785","2,8670","0,30%"
"14.12.2009","2,8650","2,8735","2,8785","2,8625","-0,42%"
"11.12.2009","2,8770","2,8710","2,8780","2,8680","0,19%"
"10.12.2009","2,8715","2,8760","2,8765","2,8670","-0,21%"
"09.12.2009","2,8775","2,8620","2,8795","2,8620","0,45%"
"08.12.2009","2,8646","2,8620","2,8665","2,8620","-0,02%"
"07.12.2009","2,8652","2,8950","2,8978","2,8595","-0,13%"
"04.12.2009","2,8690","2,8740","2,8760","2,8674","-0,17%"
"03.12.2009","2,8740","2,8790","2,8800","2,8600","-0,23%"
"02.12.2009","2,8805","2,8760","2,8815","2,8750","0,14%"
"01.12.2009","2,8765","2,8880","2,8955","2,8698","-0,16%"
"30.11.2009","2,8810","2,8950","2,8960","2,8745","-0,19%"
"27.11.2009","2,8865","2,8940","2,9045","2,8775","-0,29%"
"26.11.2009","2,8950","2,8820","2,8990","2,8820","0,42%"
"25.11.2009","2,8830","2,8840","2,8865","2,8710","-0,05%"
"24.11.2009","2,8845","2,8760","2,8875","2,8730","0,35%"
"23.11.2009","2,8745","2,8720","2,8810","2,8665","-0,24%"
"20.11.2009","2,8815","2,8750","2,8825","2,8740","0,26%"
"19.11.2009","2,8740","2,8630","2,8780","2,8630","-0,02%"
"18.11.2009","2,8745","2,8650","2,8745","2,8600","0,30%"
"17.11.2009","2,8660","2,8670","2,8745","2,8645","-0,05%"
"16.11.2009","2,8675","2,8730","2,8737","2,8620","-0,23%"
"13.11.2009","2,8740","2,8770","2,8800","2,8690","-0,14%"
"12.11.2009","2,8780","2,8710","2,8950","2,8710","0,21%"
